email,interests,recommended_projects
kimberly.robinson@example.com,"['Machine Learning', 'Android Mobile App Programming', 'C++ Programming', 'Java Programming', 'UI/UX Design', 'Data Analysis', 'Web Development']","['PLCS0588', 'PLCS0414', 'PLCS0288', 'PLCS0804', 'PLCS0806', 'PLCS0061', 'PLCS0841', 'PLCS0239', 'PLCS0854', 'PLCS0218']"
austin.price@example.com,"['Web Development', 'Machine Learning', 'Android Mobile App Programming', 'C++ Programming', 'Data Analysis', 'UI/UX Design']","['PLCS0306', 'PLCS0071', 'PLCS0288', 'PLCS0653', 'PLCS0806', 'PLCS0699', 'PLCS0239', 'PLCS0191', 'PLCS0553', 'PLCS0541']"
clayton.berry@example.com,"['Data Analysis', 'Machine Learning', 'Java Programming', 'Android Mobile App Programming', 'Web Development', 'C++ Programming', 'UI/UX Design']","['PLCS0588', 'PLCS0414', 'PLCS0288', 'PLCS0804', 'PLCS0806', 'PLCS0061', 'PLCS0841', 'PLCS0239', 'PLCS0854', 'PLCS0218']"
arthur.mccarthy@example.com,"['UI/UX Design', 'C++ Programming', 'Machine Learning']","['PLCS0797', 'PLCS0757', 'PLCS0426', 'PLCS0513', 'PLCS0959', 'PLCS0680', 'PLCS0408', 'PLCS0075', 'PLCS0397', 'PLCS0896']"
michelle.fox@example.com,"['C++ Programming', 'Java Programming', 'Data Analysis', 'Machine Learning']","['PLCS0186', 'PLCS0675', 'PLCS0752', 'PLCS0632', 'PLCS0201', 'PLCS0190', 'PLCS0621', 'PLCS0056', 'PLCS0440', 'PLCS0660']"
kevin.suarez@example.com,"['UI/UX Design', 'Java Programming', 'C++ Programming', 'Android Mobile App Programming', 'Machine Learning', 'Web Development', 'Data Analysis']","['PLCS0588', 'PLCS0414', 'PLCS0288', 'PLCS0804', 'PLCS0806', 'PLCS0061', 'PLCS0841', 'PLCS0239', 'PLCS0854', 'PLCS0218']"
kurt.cabrera@example.com,"['Java Programming', 'Android Mobile App Programming', 'Web Development', 'Data Analysis', 'Machine Learning', 'UI/UX Design', 'C++ Programming']","['PLCS0588', 'PLCS0414', 'PLCS0288', 'PLCS0804', 'PLCS0806', 'PLCS0061', 'PLCS0841', 'PLCS0239', 'PLCS0854', 'PLCS0218']"
mark.martin@example.com,"['Machine Learning', 'Android Mobile App Programming', 'C++ Programming', 'Data Analysis']","['PLCS0794', 'PLCS0771', 'PLCS0281', 'PLCS0576', 'PLCS0356', 'PLCS0953', 'PLCS0846', 'PLCS0038', 'PLCS0511', 'PLCS0547']"
dwayne.middleton@example.com,"['UI/UX Design', 'Data Analysis', 'Machine Learning', 'Android Mobile App Programming', 'C++ Programming']","['PLCS0609', 'PLCS0061', 'PLCS0239', 'PLCS0687', 'PLCS0288', 'PLCS0854', 'PLCS0588', 'PLCS0306', 'PLCS0569', 'PLCS0414']"
allison.burke@example.com,"['Java Programming', 'Android Mobile App Programming', 'UI/UX Design', 'C++ Programming']","['PLCS0197', 'PLCS0071', 'PLCS0699', 'PLCS0569', 'PLCS0061', 'PLCS0147', 'PLCS0931', 'PLCS0191', 'PLCS0687', 'PLCS0414']"
bradley.green@example.com,"['UI/UX Design', 'Web Development', 'Data Analysis', 'Java Programming', 'Machine Learning', 'C++ Programming', 'Android Mobile App Programming']","['PLCS0588', 'PLCS0414', 'PLCS0288', 'PLCS0804', 'PLCS0806', 'PLCS0061', 'PLCS0841', 'PLCS0239', 'PLCS0854', 'PLCS0218']"
mary.mata@example.com,"['C++ Programming', 'Data Analysis', 'UI/UX Design', 'Android Mobile App Programming', 'Machine Learning']","['PLCS0609', 'PLCS0061', 'PLCS0239', 'PLCS0687', 'PLCS0288', 'PLCS0854', 'PLCS0588', 'PLCS0306', 'PLCS0569', 'PLCS0414']"
robert.james@example.com,"['UI/UX Design', 'Java Programming', 'Data Analysis', 'C++ Programming', 'Web Development', 'Android Mobile App Programming']","['PLCS0147', 'PLCS0218', 'PLCS0350', 'PLCS0414', 'PLCS0306', 'PLCS0288', 'PLCS0071', 'PLCS0841', 'PLCS0854', 'PLCS0061']"
justin.johnson@example.com,"['Java Programming', 'C++ Programming', 'Machine Learning', 'UI/UX Design', 'Android Mobile App Programming', 'Data Analysis']","['PLCS0191', 'PLCS0350', 'PLCS0306', 'PLCS0541', 'PLCS0569', 'PLCS0197', 'PLCS0147', 'PLCS0061', 'PLCS0920', 'PLCS0288']"
nicole.spencer@example.com,"['Data Analysis', 'UI/UX Design', 'Java Programming', 'Machine Learning']","['PLCS0315', 'PLCS0765', 'PLCS0680', 'PLCS0397', 'PLCS0120', 'PLCS0839', 'PLCS0233', 'PLCS0618', 'PLCS0513', 'PLCS0849']"
desiree.mccann@example.com,"['Machine Learning', 'Data Analysis', 'Web Development', 'Android Mobile App Programming']","['PLCS0981', 'PLCS0973', 'PLCS0696', 'PLCS0429', 'PLCS0662', 'PLCS0098', 'PLCS0106', 'PLCS0545', 'PLCS0913', 'PLCS0520']"
robin.marshall@example.com,"['Data Analysis', 'UI/UX Design', 'Android Mobile App Programming', 'Java Programming', 'C++ Programming', 'Web Development', 'Machine Learning']","['PLCS0588', 'PLCS0414', 'PLCS0288', 'PLCS0804', 'PLCS0806', 'PLCS0061', 'PLCS0841', 'PLCS0239', 'PLCS0854', 'PLCS0218']"
amber.winters@example.com,"['UI/UX Design', 'Java Programming', 'Machine Learning', 'C++ Programming']","['PLCS0294', 'PLCS0762', 'PLCS0503', 'PLCS0096', 'PLCS0111', 'PLCS0422', 'PLCS0117', 'PLCS0499', 'PLCS0156', 'PLCS0970']"
steve.young@example.com,"['C++ Programming', 'Android Mobile App Programming', 'Machine Learning', 'Data Analysis', 'Web Development', 'UI/UX Design']","['PLCS0306', 'PLCS0071', 'PLCS0288', 'PLCS0653', 'PLCS0806', 'PLCS0699', 'PLCS0239', 'PLCS0191', 'PLCS0553', 'PLCS0541']"
caleb.crawford@example.com,"['Data Analysis', 'Java Programming', 'Android Mobile App Programming']","['PLCS0956', 'PLCS0526', 'PLCS0194', 'PLCS0842', 'PLCS0185', 'PLCS0184', 'PLCS0251', 'PLCS0814', 'PLCS0630', 'PLCS0284']"
evan.huffman@example.com,"['Machine Learning', 'Data Analysis', 'Web Development']","['PLCS0057', 'PLCS0979', 'PLCS0967', 'PLCS0354', 'PLCS0649', 'PLCS0659', 'PLCS0066', 'PLCS0750', 'PLCS0760', 'PLCS0773']"
jonathan.evans@example.com,"['Data Analysis', 'Machine Learning', 'UI/UX Design', 'Web Development', 'C++ Programming']","['PLCS0542', 'PLCS0857', 'PLCS0164', 'PLCS0634', 'PLCS0751', 'PLCS0496', 'PLCS0960', 'PLCS0775', 'PLCS0446', 'PLCS0584']"
lauren.clayton@example.com,"['C++ Programming', 'Android Mobile App Programming', 'Machine Learning', 'Web Development', 'UI/UX Design', 'Data Analysis']","['PLCS0306', 'PLCS0071', 'PLCS0288', 'PLCS0653', 'PLCS0806', 'PLCS0699', 'PLCS0239', 'PLCS0191', 'PLCS0553', 'PLCS0541']"
sarah.smith@example.com,"['Machine Learning', 'Web Development', 'Android Mobile App Programming', 'Java Programming']","['PLCS0999', 'PLCS0545', 'PLCS0429', 'PLCS0006', 'PLCS0973', 'PLCS0098', 'PLCS0491', 'PLCS0926', 'PLCS0520', 'PLCS0585']"
mary.pollard@example.com,"['Android Mobile App Programming', 'Java Programming', 'Machine Learning', 'Data Analysis', 'UI/UX Design']","['PLCS0165', 'PLCS0218', 'PLCS0653', 'PLCS0197', 'PLCS0288', 'PLCS0541', 'PLCS0677', 'PLCS0687', 'PLCS0699', 'PLCS0569']"
jessica.cox@example.com,"['C++ Programming', 'Java Programming', 'UI/UX Design', 'Data Analysis']","['PLCS0762', 'PLCS0503', 'PLCS0713', 'PLCS0716', 'PLCS0970', 'PLCS0459', 'PLCS0422', 'PLCS0364', 'PLCS0808', 'PLCS0096']"
sabrina.lee@example.com,"['Android Mobile App Programming', 'Data Analysis', 'Java Programming', 'C++ Programming', 'Machine Learning']","['PLCS1000', 'PLCS0314', 'PLCS0720', 'PLCS0851', 'PLCS0085', 'PLCS0717', 'PLCS0745', 'PLCS0382', 'PLCS0452', 'PLCS0253']"
traci.aguilar@example.com,"['Machine Learning', 'Data Analysis', 'C++ Programming', 'Java Programming']","['PLCS0186', 'PLCS0675', 'PLCS0752', 'PLCS0632', 'PLCS0201', 'PLCS0190', 'PLCS0621', 'PLCS0056', 'PLCS0440', 'PLCS0660']"
brent.rios@example.com,"['Machine Learning', 'Java Programming', 'UI/UX Design', 'Web Development']","['PLCS0634', 'PLCS0446', 'PLCS0960', 'PLCS0405', 'PLCS0267', 'PLCS0164', 'PLCS0743', 'PLCS0625', 'PLCS0775', 'PLCS0676']"
suzanne.jenkins@example.com,"['Data Analysis', 'UI/UX Design', 'Machine Learning', 'Java Programming', 'Android Mobile App Programming', 'Web Development']","['PLCS0804', 'PLCS0588', 'PLCS0653', 'PLCS0644', 'PLCS0147', 'PLCS0677', 'PLCS0687', 'PLCS0569', 'PLCS0920', 'PLCS0699']"
stacey.fox@example.com,"['Java Programming', 'C++ Programming', 'Data Analysis', 'Machine Learning', 'Web Development', 'UI/UX Design']","['PLCS0096', 'PLCS0422', 'PLCS0230', 'PLCS0503', 'PLCS0232', 'PLCS0970', 'PLCS0499', 'PLCS0713', 'PLCS0117', 'PLCS0702']"
calvin.martin@example.com,"['Web Development', 'Java Programming', 'Data Analysis']","['PLCS0121', 'PLCS0824', 'PLCS0940', 'PLCS0059', 'PLCS0430', 'PLCS0611', 'PLCS0914', 'PLCS0908', 'PLCS0127', 'PLCS0139']"
carolyn.wilson@example.com,"['UI/UX Design', 'Java Programming', 'Android Mobile App Programming', 'Web Development', 'C++ Programming', 'Machine Learning', 'Data Analysis']","['PLCS0588', 'PLCS0414', 'PLCS0288', 'PLCS0804', 'PLCS0806', 'PLCS0061', 'PLCS0841', 'PLCS0239', 'PLCS0854', 'PLCS0218']"
amy.nguyen@example.com,"['Android Mobile App Programming', 'Web Development', 'C++ Programming', 'UI/UX Design']","['PLCS0197', 'PLCS0071', 'PLCS0931', 'PLCS0644', 'PLCS0061', 'PLCS0653', 'PLCS0541', 'PLCS0553', 'PLCS0350', 'PLCS0609']"
suzanne.dawson@example.com,"['Data Analysis', 'Java Programming', 'Machine Learning', 'UI/UX Design', 'Web Development', 'Android Mobile App Programming', 'C++ Programming']","['PLCS0588', 'PLCS0414', 'PLCS0288', 'PLCS0804', 'PLCS0806', 'PLCS0061', 'PLCS0841', 'PLCS0239', 'PLCS0854', 'PLCS0218']"
angie.todd@example.com,"['Machine Learning', 'Data Analysis', 'Web Development']","['PLCS0057', 'PLCS0979', 'PLCS0967', 'PLCS0354', 'PLCS0649', 'PLCS0659', 'PLCS0066', 'PLCS0750', 'PLCS0760', 'PLCS0773']"
logan.gonzalez@example.com,"['C++ Programming', 'Data Analysis', 'Machine Learning', 'Android Mobile App Programming', 'UI/UX Design', 'Java Programming', 'Web Development']","['PLCS0588', 'PLCS0414', 'PLCS0288', 'PLCS0804', 'PLCS0806', 'PLCS0061', 'PLCS0841', 'PLCS0239', 'PLCS0854', 'PLCS0218']"
nathaniel.hanson@example.com,"['Machine Learning', 'UI/UX Design', 'Data Analysis', 'Web Development', 'Java Programming', 'Android Mobile App Programming', 'C++ Programming']","['PLCS0588', 'PLCS0414', 'PLCS0288', 'PLCS0804', 'PLCS0806', 'PLCS0061', 'PLCS0841', 'PLCS0239', 'PLCS0854', 'PLCS0218']"
kim.taylor@example.com,"['C++ Programming', 'Machine Learning', 'Data Analysis', 'Android Mobile App Programming']","['PLCS0794', 'PLCS0771', 'PLCS0281', 'PLCS0576', 'PLCS0356', 'PLCS0953', 'PLCS0846', 'PLCS0038', 'PLCS0511', 'PLCS0547']"
samantha.king@example.com,"['C++ Programming', 'UI/UX Design', 'Web Development', 'Machine Learning', 'Android Mobile App Programming', 'Java Programming']","['PLCS0872', 'PLCS0191', 'PLCS0350', 'PLCS0165', 'PLCS0588', 'PLCS0920', 'PLCS0644', 'PLCS0653', 'PLCS0306', 'PLCS0288']"
jeffrey.stevens@example.com,"['Data Analysis', 'Machine Learning', 'Java Programming', 'Android Mobile App Programming', 'C++ Programming', 'UI/UX Design']","['PLCS0191', 'PLCS0350', 'PLCS0306', 'PLCS0541', 'PLCS0569', 'PLCS0197', 'PLCS0147', 'PLCS0061', 'PLCS0920', 'PLCS0288']"
lori.price@example.com,"['UI/UX Design', 'Data Analysis', 'C++ Programming', 'Web Development', 'Java Programming']","['PLCS0179', 'PLCS0509', 'PLCS0096', 'PLCS0111', 'PLCS0117', 'PLCS0364', 'PLCS0637', 'PLCS0970', 'PLCS0156', 'PLCS0163']"
jenna.smith@example.com,"['UI/UX Design', 'Web Development', 'Data Analysis']","['PLCS0542', 'PLCS0775', 'PLCS0743', 'PLCS0625', 'PLCS0751', 'PLCS0866', 'PLCS0584', 'PLCS0960', 'PLCS0496', 'PLCS0267']"
jeffrey.marshall@example.com,"['Java Programming', 'C++ Programming', 'Data Analysis']","['PLCS0244', 'PLCS0220', 'PLCS0948', 'PLCS0527', 'PLCS0606', 'PLCS0097', 'PLCS0610', 'PLCS0084', 'PLCS0739', 'PLCS0497']"
amanda.peters@example.com,"['UI/UX Design', 'Java Programming', 'Data Analysis', 'Android Mobile App Programming']","['PLCS0588', 'PLCS0644', 'PLCS0931', 'PLCS0239', 'PLCS0165', 'PLCS0806', 'PLCS0804', 'PLCS0414', 'PLCS0677', 'PLCS0687']"
peter.smith@example.com,"['Data Analysis', 'Web Development', 'UI/UX Design', 'Machine Learning', 'C++ Programming', 'Java Programming', 'Android Mobile App Programming']","['PLCS0588', 'PLCS0414', 'PLCS0288', 'PLCS0804', 'PLCS0806', 'PLCS0061', 'PLCS0841', 'PLCS0239', 'PLCS0854', 'PLCS0218']"
danny.kelley@example.com,"['Web Development', 'Data Analysis', 'Machine Learning', 'Android Mobile App Programming']","['PLCS0981', 'PLCS0973', 'PLCS0696', 'PLCS0429', 'PLCS0662', 'PLCS0098', 'PLCS0106', 'PLCS0545', 'PLCS0913', 'PLCS0520']"
christine.camacho@example.com,"['Java Programming', 'UI/UX Design', 'Data Analysis', 'Android Mobile App Programming', 'Machine Learning', 'Web Development', 'C++ Programming']","['PLCS0588', 'PLCS0414', 'PLCS0288', 'PLCS0804', 'PLCS0806', 'PLCS0061', 'PLCS0841', 'PLCS0239', 'PLCS0854', 'PLCS0218']"
francis.baker@example.com,"['Android Mobile App Programming', 'UI/UX Design', 'Java Programming', 'Web Development', 'Machine Learning', 'C++ Programming', 'Data Analysis']","['PLCS0588', 'PLCS0414', 'PLCS0288', 'PLCS0804', 'PLCS0806', 'PLCS0061', 'PLCS0841', 'PLCS0239', 'PLCS0854', 'PLCS0218']"
karen.horton@example.com,"['Android Mobile App Programming', 'Machine Learning', 'C++ Programming', 'Web Development']","['PLCS0585', 'PLCS0999', 'PLCS0913', 'PLCS0973', 'PLCS0006', 'PLCS0317', 'PLCS0761', 'PLCS0013', 'PLCS0645', 'PLCS0491']"
brianna.poole@example.com,"['Android Mobile App Programming', 'C++ Programming', 'Machine Learning', 'Web Development', 'Java Programming', 'UI/UX Design', 'Data Analysis']","['PLCS0588', 'PLCS0414', 'PLCS0288', 'PLCS0804', 'PLCS0806', 'PLCS0061', 'PLCS0841', 'PLCS0239', 'PLCS0854', 'PLCS0218']"
margaret.johnson@example.com,"['Android Mobile App Programming', 'UI/UX Design', 'C++ Programming', 'Java Programming', 'Machine Learning', 'Data Analysis']","['PLCS0191', 'PLCS0350', 'PLCS0306', 'PLCS0541', 'PLCS0569', 'PLCS0197', 'PLCS0147', 'PLCS0061', 'PLCS0920', 'PLCS0288']"
amanda.wiggins@example.com,"['Web Development', 'Machine Learning', 'UI/UX Design', 'Android Mobile App Programming', 'C++ Programming', 'Java Programming']","['PLCS0872', 'PLCS0191', 'PLCS0350', 'PLCS0165', 'PLCS0588', 'PLCS0920', 'PLCS0644', 'PLCS0653', 'PLCS0306', 'PLCS0288']"
kyle.murray@example.com,"['Web Development', 'Android Mobile App Programming', 'Data Analysis', 'Machine Learning', 'UI/UX Design']","['PLCS0806', 'PLCS0609', 'PLCS0061', 'PLCS0920', 'PLCS0644', 'PLCS0288', 'PLCS0931', 'PLCS0306', 'PLCS0541', 'PLCS0564']"
anthony.graves@example.com,"['Machine Learning', 'Java Programming', 'C++ Programming', 'Web Development', 'Data Analysis']","['PLCS0817', 'PLCS0589', 'PLCS0305', 'PLCS0270', 'PLCS0040', 'PLCS0957', 'PLCS0796', 'PLCS0598', 'PLCS0236', 'PLCS0523']"
grant.hayes@example.com,"['C++ Programming', 'Web Development', 'UI/UX Design']","['PLCS0267', 'PLCS0021', 'PLCS0634', 'PLCS0866', 'PLCS0751', 'PLCS0198', 'PLCS0446', 'PLCS0743', 'PLCS0625', 'PLCS0960']"
kelly.diaz@example.com,"['C++ Programming', 'Web Development', 'UI/UX Design', 'Java Programming', 'Android Mobile App Programming']","['PLCS0165', 'PLCS0588', 'PLCS0677', 'PLCS0147', 'PLCS0350', 'PLCS0191', 'PLCS0564', 'PLCS0569', 'PLCS0806', 'PLCS0218']"
jesus.spears@example.com,"['Java Programming', 'C++ Programming', 'Android Mobile App Programming']","['PLCS1000', 'PLCS0911', 'PLCS0874', 'PLCS0396', 'PLCS0253', 'PLCS0060', 'PLCS0851', 'PLCS0240', 'PLCS0085', 'PLCS0807']"
martha.chen@example.com,"['Web Development', 'Android Mobile App Programming', 'Machine Learning', 'Java Programming', 'C++ Programming', 'UI/UX Design']","['PLCS0872', 'PLCS0191', 'PLCS0350', 'PLCS0165', 'PLCS0588', 'PLCS0920', 'PLCS0644', 'PLCS0653', 'PLCS0306', 'PLCS0288']"
jason.gillespie@example.com,"['Data Analysis', 'Android Mobile App Programming', 'C++ Programming', 'Java Programming', 'UI/UX Design']","['PLCS0644', 'PLCS0350', 'PLCS0677', 'PLCS0239', 'PLCS0588', 'PLCS0218', 'PLCS0288', 'PLCS0071', 'PLCS0872', 'PLCS0569']"
daniel.sullivan@example.com,"['Android Mobile App Programming', 'Web Development', 'Data Analysis', 'C++ Programming']","['PLCS0696', 'PLCS0106', 'PLCS0645', 'PLCS0999', 'PLCS0938', 'PLCS0429', 'PLCS0662', 'PLCS0926', 'PLCS0370', 'PLCS0973']"
sabrina.johnson@example.com,"['C++ Programming', 'Machine Learning', 'Android Mobile App Programming', 'Java Programming', 'Data Analysis', 'UI/UX Design', 'Web Development']","['PLCS0588', 'PLCS0414', 'PLCS0288', 'PLCS0804', 'PLCS0806', 'PLCS0061', 'PLCS0841', 'PLCS0239', 'PLCS0854', 'PLCS0218']"
olivia.miller@example.com,"['Machine Learning', 'Web Development', 'Data Analysis']","['PLCS0057', 'PLCS0979', 'PLCS0967', 'PLCS0354', 'PLCS0649', 'PLCS0659', 'PLCS0066', 'PLCS0750', 'PLCS0760', 'PLCS0773']"
susan.schwartz@example.com,"['C++ Programming', 'Web Development', 'UI/UX Design', 'Machine Learning', 'Java Programming', 'Data Analysis']","['PLCS0096', 'PLCS0422', 'PLCS0230', 'PLCS0503', 'PLCS0232', 'PLCS0970', 'PLCS0499', 'PLCS0713', 'PLCS0117', 'PLCS0702']"
steven.wright@example.com,"['Data Analysis', 'Java Programming', 'C++ Programming', 'Android Mobile App Programming', 'UI/UX Design', 'Machine Learning']","['PLCS0191', 'PLCS0350', 'PLCS0306', 'PLCS0541', 'PLCS0569', 'PLCS0197', 'PLCS0147', 'PLCS0061', 'PLCS0920', 'PLCS0288']"
christine.sanders@example.com,"['Android Mobile App Programming', 'Data Analysis', 'Web Development', 'C++ Programming']","['PLCS0696', 'PLCS0106', 'PLCS0645', 'PLCS0999', 'PLCS0938', 'PLCS0429', 'PLCS0662', 'PLCS0926', 'PLCS0370', 'PLCS0973']"
anthony.jensen@example.com,"['Android Mobile App Programming', 'Data Analysis', 'Java Programming', 'Web Development', 'Machine Learning', 'UI/UX Design', 'C++ Programming']","['PLCS0588', 'PLCS0414', 'PLCS0288', 'PLCS0804', 'PLCS0806', 'PLCS0061', 'PLCS0841', 'PLCS0239', 'PLCS0854', 'PLCS0218']"
jessica.mitchell@example.com,"['Java Programming', 'C++ Programming', 'Android Mobile App Programming', 'Machine Learning', 'Data Analysis', 'UI/UX Design']","['PLCS0191', 'PLCS0350', 'PLCS0306', 'PLCS0541', 'PLCS0569', 'PLCS0197', 'PLCS0147', 'PLCS0061', 'PLCS0920', 'PLCS0288']"
wendy.hess@example.com,"['Data Analysis', 'Android Mobile App Programming', 'C++ Programming', 'UI/UX Design', 'Web Development', 'Machine Learning']","['PLCS0306', 'PLCS0071', 'PLCS0288', 'PLCS0653', 'PLCS0806', 'PLCS0699', 'PLCS0239', 'PLCS0191', 'PLCS0553', 'PLCS0541']"
nathan.wang@example.com,"['Data Analysis', 'Machine Learning', 'C++ Programming', 'Web Development', 'Java Programming', 'Android Mobile App Programming']","['PLCS1000', 'PLCS0240', 'PLCS0577', 'PLCS0593', 'PLCS0396', 'PLCS0638', 'PLCS0221', 'PLCS0382', 'PLCS0119', 'PLCS0226']"
lisa.ford@example.com,"['Android Mobile App Programming', 'C++ Programming', 'Web Development', 'Data Analysis', 'Machine Learning', 'UI/UX Design', 'Java Programming']","['PLCS0588', 'PLCS0414', 'PLCS0288', 'PLCS0804', 'PLCS0806', 'PLCS0061', 'PLCS0841', 'PLCS0239', 'PLCS0854', 'PLCS0218']"
jeffrey.rodriguez@example.com,"['Java Programming', 'C++ Programming', 'Android Mobile App Programming', 'Data Analysis', 'Machine Learning', 'UI/UX Design']","['PLCS0191', 'PLCS0350', 'PLCS0306', 'PLCS0541', 'PLCS0569', 'PLCS0197', 'PLCS0147', 'PLCS0061', 'PLCS0920', 'PLCS0288']"
william.ibarra@example.com,"['Java Programming', 'Web Development', 'Machine Learning']","['PLCS0902', 'PLCS0773', 'PLCS0066', 'PLCS0649', 'PLCS0659', 'PLCS0057', 'PLCS0134', 'PLCS0799', 'PLCS0192', 'PLCS0354']"
mary.blackwell@example.com,"['UI/UX Design', 'Machine Learning', 'Web Development', 'Android Mobile App Programming']","['PLCS0414', 'PLCS0841', 'PLCS0288', 'PLCS0653', 'PLCS0804', 'PLCS0588', 'PLCS0699', 'PLCS0806', 'PLCS0931', 'PLCS0644']"
billy.lopez@example.com,"['Android Mobile App Programming', 'UI/UX Design', 'Web Development', 'Data Analysis']","['PLCS0569', 'PLCS0061', 'PLCS0653', 'PLCS0931', 'PLCS0197', 'PLCS0644', 'PLCS0191', 'PLCS0677', 'PLCS0350', 'PLCS0687']"
carolyn.williams@example.com,"['Java Programming', 'UI/UX Design', 'Data Analysis', 'Web Development', 'Machine Learning']","['PLCS0751', 'PLCS0496', 'PLCS0634', 'PLCS0267', 'PLCS0584', 'PLCS0960', 'PLCS0665', 'PLCS0542', 'PLCS0676', 'PLCS0021']"
julie.bryant@example.com,"['Data Analysis', 'Machine Learning', 'C++ Programming', 'UI/UX Design', 'Android Mobile App Programming', 'Web Development']","['PLCS0306', 'PLCS0071', 'PLCS0288', 'PLCS0653', 'PLCS0806', 'PLCS0699', 'PLCS0239', 'PLCS0191', 'PLCS0553', 'PLCS0541']"
janet.miller@example.com,"['Java Programming', 'Web Development', 'Android Mobile App Programming', 'C++ Programming', 'Machine Learning']","['PLCS1000', 'PLCS0452', 'PLCS0851', 'PLCS0807', 'PLCS0782', 'PLCS0745', 'PLCS0720', 'PLCS0717', 'PLCS0060', 'PLCS0638']"
sheila.franklin@example.com,"['UI/UX Design', 'C++ Programming', 'Machine Learning']","['PLCS0797', 'PLCS0757', 'PLCS0426', 'PLCS0513', 'PLCS0959', 'PLCS0680', 'PLCS0408', 'PLCS0075', 'PLCS0397', 'PLCS0896']"
